date,val
2021/10/7,554239
2021/10/8,529437
2021/10/9,494983
2021/10/10,606124
2021/10/11,530496
2021/10/12,493835
2021/10/13,607001
2021/10/14,471218
2021/10/15,565823
2021/10/16,525207
2021/10/17,468299
2021/10/18,510900
2021/10/19,481988
2021/10/20,434253
2021/10/21,402774
2021/10/22,394630
2021/10/23,362331
2021/10/24,306854
2021/10/25,362811
2021/10/26,304487
2021/10/27,285992
2021/10/28,210211
2021/10/29,186734
2021/10/30,159942
2021/10/31,156270
2021/11/1,3623936
2021/11/2,933368
2021/11/3,893782
2021/11/4,644592
2021/11/5,192091
2021/11/6,198117
2021/11/7,206810
2021/11/8,306774
2021/11/9,218823
2021/11/10,166303
2021/11/11,3194576
2021/11/12,961883
2021/11/13,978616
2021/11/14,589046
2021/11/15,377325
2021/11/16,289529
2021/11/17,272708
2021/11/18,295254
2021/11/19,209565
2021/11/20,244145
2021/11/21,257717
2021/11/22,315438
2021/11/23,327073
2021/11/24,295836
2021/11/25,297857
2021/11/26,264881
2021/11/27,373601
2021/11/28,283615
2021/11/29,295301
2021/11/30,263396
2021/12/1,358690
2021/12/2,295042
2021/12/3,279420
2021/12/4,293056
2021/12/5,283571
2021/12/6,290175
2021/12/7,254664
2021/12/8,266300
2021/12/9,196323
2021/12/10,190683
2021/12/11,158002
2021/12/12,1565359
2021/12/13,692896
2021/12/14,1262058
2021/12/15,879698
2021/12/16,366685
2021/12/17,262794
2021/12/18,275054
2021/12/19,221200
2021/12/20,215102
2021/12/21,284709
2021/12/22,250645
2021/12/23,253035
2021/12/24,242575
2021/12/25,269546
2021/12/26,322514
2021/12/27,296243
2021/12/28,333857
2021/12/29,298298
2021/12/30,335064
2021/12/31,272787
2022/1/1,261536
2022/1/2,312993
2022/1/3,347873
2022/1/4,327023
2022/1/5,291578
2022/1/6,300899
2022/1/7,233869
2022/1/8,195614
2022/1/9,241647
2022/1/10,849965
2022/1/11,501581
2022/1/12,422131
2022/1/13,414719
2022/1/14,384840
2022/1/15,409230
2022/1/16,472814
2022/1/17,347156
2022/1/18,319790
2022/1/19,328393
2022/1/20,319903
2022/1/21,323150
2022/1/22,273915
2022/1/23,239537
2022/1/24,205505
2022/1/25,164934
2022/1/26,125851
2022/1/27,90967
2022/1/28,68413
2022/1/29,61334
2022/1/30,53868
2022/1/31,55052
2022/2/1,74741
2022/2/2,99731
2022/2/3,116957
2022/2/4,148188
2022/2/5,160991
2022/2/6,194938
2022/2/7,238764
2022/2/8,238502
2022/2/9,253593
2022/2/10,284221
2022/2/11,301639
2022/2/12,284711
2022/2/13,294120
2022/2/14,260191
2022/2/15,331781
2022/2/16,374227
2022/2/17,333276
2022/2/18,340664
2022/2/19,281742
2022/2/20,266239
2022/2/21,246897
2022/2/22,234522
2022/2/23,214016
2022/2/24,415045
2022/2/25,307864
2022/2/26,259138
2022/2/27,356510
2022/2/28,364680
2022/3/1,435278
2022/3/2,398359
2022/3/3,342943
2022/3/4,308675
2022/3/5,1407450
2022/3/6,837141
2022/3/7,640541
2022/3/8,722533
2022/3/9,672946
2022/3/10,404348
2022/3/11,364199
2022/3/12,367719
2022/3/13,383108
2022/3/14,380534
2022/3/15,271570
2022/3/16,318649
2022/3/17,276832
2022/3/18,216798
2022/3/19,325908
2022/3/20,221898
2022/3/21,322830
2022/3/22,649450
2022/3/23,390232
2022/3/24,346296
2022/3/25,332131
2022/3/26,217200
2022/3/27,320373
2022/3/28,266983
2022/3/29,269490
2022/3/30,233474
2022/3/31,326984
2022/4/1,221350
2022/4/2,291472
2022/4/3,300212
2022/4/4,311377
2022/4/5,314312
2022/4/6,341624
2022/4/7,358097
2022/4/8,326033
2022/4/9,330579
2022/4/10,370371
2022/4/11,299723
2022/4/12,379581
2022/4/13,641042
2022/4/14,401252
2022/4/15,367659
2022/4/16,312332
2022/4/17,268583
2022/4/18,259486
2022/4/19,240085
2022/4/20,259105
2022/4/21,276952
2022/4/22,270647
2022/4/23,293296
2022/4/24,492467
2022/4/25,389753
2022/4/26,393486
2022/4/27,281464
2022/4/28,201524
2022/4/29,198078
2022/4/30,625220
2022/5/1,330724
2022/5/2,439544
2022/5/3,356180
2022/5/4,430545
2022/5/5,427334
2022/5/6,351160
2022/5/7,239358
2022/5/8,271492
2022/5/9,301775
2022/5/10,251907
2022/5/11,244252
2022/5/12,235822
2022/5/13,241635
2022/5/14,237140
2022/5/15,277887
2022/5/16,231799
2022/5/17,214819
2022/5/18,313270
2022/5/19,513377
2022/5/20,409874
2022/5/21,375648
2022/5/22,276330
2022/5/23,302686
2022/5/24,288014
2022/5/25,240930
2022/5/26,260965
2022/5/27,207276
2022/5/28,234407
2022/5/29,216200
2022/5/30,207515
2022/5/31,424929
2022/6/1,936850
2022/6/2,675430
2022/6/3,540902
2022/6/4,492567
2022/6/5,287534
2022/6/6,280632
2022/6/7,312318
2022/6/8,311958
2022/6/9,300675
2022/6/10,217622
2022/6/11,222604
2022/6/12,228482
2022/6/13,223158
2022/6/14,202310
2022/6/15,302285
2022/6/16,872478
2022/6/17,675557
2022/6/18,666509
2022/6/19,691084
2022/6/20,602621
2022/6/21,476189
2022/6/22,308036
2022/6/23,224882
2022/6/24,217708
2022/6/25,308738
2022/6/26,251042
2022/6/27,240280
2022/6/28,250730
2022/6/29,254009
2022/6/30,249645
2022/7/1,243983
2022/7/2,267857
2022/7/3,304244
2022/7/4,270457
2022/7/5,277536
2022/7/6,266959
2022/7/7,270946
2022/7/8,259061
2022/7/9,255474
2022/7/10,270148
2022/7/11,213331
2022/7/12,452154
2022/7/13,474007
2022/7/14,367161
2022/7/15,389454
2022/7/16,265654
2022/7/17,259003
2022/7/18,236793
2022/7/19,265717
2022/7/20,251024
2022/7/21,231497
2022/7/22,217894
2022/7/23,228992
2022/7/24,243800
2022/7/25,197608
2022/7/26,226717
2022/7/27,512375
2022/7/28,393262
2022/7/29,380912
2022/7/30,243312
2022/7/31,421279
2022/8/1,438879
2022/8/2,373476
2022/8/3,384266
2022/8/4,403085
2022/8/5,286778
2022/8/6,282279
2022/8/7,287107
2022/8/8,418194
2022/8/9,500056
2022/8/10,407828
2022/8/11,433733
2022/8/12,311455
2022/8/13,221481
2022/8/14,236275
2022/8/15,232806
2022/8/16,241515
2022/8/17,251789
2022/8/18,229180
2022/8/19,252657
2022/8/20,261692
2022/8/21,215620
2022/8/22,567327
2022/8/23,499362
2022/8/24,447425
2022/8/25,455791
2022/8/26,313308
2022/8/27,287428
2022/8/28,307504
2022/8/29,530608
2022/8/30,564374
2022/8/31,434604
2022/9/1,411748
2022/9/2,321822
2022/9/3,327887
2022/9/4,256543
2022/9/5,199643
2022/9/6,776366
2022/9/7,876435
2022/9/8,536841
2022/9/9,499456
2022/9/10,568213
2022/9/11,381481
2022/9/12,364533
2022/9/13,389226
2022/9/14,392371
2022/9/15,399974
2022/9/16,374252
2022/9/17,325032
2022/9/18,390143
2022/9/19,692688
2022/9/20,586720
2022/9/21,625414
2022/9/22,511651
2022/9/23,509643
2022/9/24,518576
2022/9/25,581708
2022/9/26,541551
2022/9/27,492181
2022/9/28,473358
2022/9/29,335415
2022/9/30,586621
2022/10/1,663062
2022/10/2,553240
2022/10/3,540664
2022/10/4,579911
2022/10/5,648615
2022/10/6,666960
2022/10/7,817190
2022/10/8,495363
2022/10/9,498422
2022/10/10,947257
2022/10/11,740486
